root_id,hemisphere,type,column_id,x,y,p,q
720575940604119842,left,T1,97,-5,2,6,-4
720575940604142453,right,T4c,511,5,-11,-11,0
720575940604151008,right,Mi1,6,-2,-4,0,-4
720575940604151520,right,Tm1,105,3,22,8,14
720575940604174882,left,Tm2,263,-3,4,5,-1
720575940604179372,left,T5b,294,1,-20,-11,-9
720575940604180140,right,T4b,671,-4,-23,-8,-15
720575940604183654,right,Tm2,143,-4,16,12,4
720575940604191456,right,Mi1,7,-6,-6,3,-9
720575940604192992,left,T5d,244,-4,-12,-2,-10
720575940604198828,left,T4a,105,3,22,8,14
720575940604200364,left,T3,152,3,-15,-11,-4
720575940604209580,right,Mi4,550,-2,3,3,0
720575940604213937,right,L4,284,0,25,12,13
720575940604218028,right,T2a,550,-2,3,3,0
720575940604221356,left,T5c,590,1,9,3,6
720575940604248032,right,T2,554,-9,-3,7,-10
720575940604255712,right,Mi1,8,-4,26,17,9
720575940604288172,left,Tm9,332,4,-26,-17,-9
720575940604307936,right,C3,213,3,-4,-5,1
720575940604323808,right,T5c,562,-5,-2,4,-6
720575940604324320,right,T5c,522,-4,0,4,-4
720575940604324576,left,T4b,454,5,-12,-11,-1
720575940604336049,right,T2a,97,-5,2,6,-4
720575940604337632,left,T4b,642,-5,-11,-1,-10
720575940604341280,right,Tm3,394,-7,-8,3,-11
720575940604383776,right,T4a,651,-4,-5,1,-6
720575940604386594,left,T4a,536,3,4,-1,5
720575940604411616,right,T5b,598,2,-18,-11,-7
720575940604412896,right,T5c,548,1,-16,-9,-7
720575940604413664,right,T5b,413,-2,-7,-2,-5
720575940604415148,right,T2a,37,1,5,1,4
720575940604427232,right,T5b,431,-2,-10,-3,-7
720575940604427552,left,Mi1,549,0,-9,-5,-4
720575940604432864,right,T5a,558,-4,-21,-7,-14
720575940604435061,right,T4b,557,6,-10,-11,1
720575940604436720,right,T4d,142,-2,-18,-7,-11
720575940604437792,left,Tm1,432,-5,7,8,-1
720575940604438048,left,T2,565,0,-26,-13,-13
720575940604453408,left,Tm3,766,2,-4,-4,0
720575940604457200,right,T5c,294,1,-20,-11,-9
720575940604467488,left,Tm4,495,4,5,-2,7
720575940604470188,left,Mi1,1,-6,13,12,1
720575940604474982,right,T4a,663,0,8,4,4
720575940604476774,right,C3,127,0,15,7,8
720575940604478065,left,T4b,591,3,-3,-5,2
720575940604487456,left,T3,540,-2,-9,-3,-6
720575940604487968,right,T5d,481,4,-8,-8,0
720575940604494694,right,Tm9,413,-2,-7,-2,-5
720575940604495537,left,T5d,223,-2,26,15,11
720575940604498022,right,Tm2,264,-1,-6,-2,-4
720575940604508332,right,Mi1,9,4,9,0,9
720575940604508960,right,T2a,468,-3,11,8,3
720575940604511776,right,T5c,320,-2,-5,-1,-4
720575940604519014,right,T3,16,-2,-16,-6,-10
720575940604521440,right,C3,148,-7,-11,1,-12
720575940604521952,right,T4c,644,-6,18,15,3
720575940604525792,left,L1,490,-5,6,8,-2
720575940604529580,right,Tm20,774,-8,6,11,-5
720575940604541798,right,Tm1,70,-4,21,14,7
720575940604544358,right,T5a,104,-1,-27,-13,-14
720575940604553150,right,Tm21,543,-1,-4,-1,-3
720575940604561510,right,Tm3,149,6,-14,-13,-1
720575940604565280,left,T4a,185,2,-11,-8,-3
720575940604567486,right,T4d,544,3,-13,-10,-3
720575940604584672,right,L5,361,0,-7,-4,-3
720575940604585504,right,T2a,29,-1,-3,-1,-2
720575940604585662,left,L3,357,4,17,4,13
720575940604590880,left,L4,330,3,3,-2,5
720575940604592160,left,Tm1,400,1,-29,-16,-13
720575940604598974,left,T1,104,-1,-27,-13,-14
720575940604599654,right,L5,461,7,-5,-10,5
720575940604605030,left,C3,281,-9,2,10,-8
720575940604607678,right,Mi1,779,5,24,7,17
720575940604609201,left,Mi9,498,6,10,-1,11
720575940604610225,right,T2,792,8,2,-7,9
720575940604618417,left,T5a,145,0,4,2,2
720575940604622453,right,T4c,328,5,-9,-10,1
720575940604624096,left,L3,343,-3,27,16,11
720575940604627889,right,Tm4,226,5,19,4,15
720575940604629681,left,T5c,623,1,13,5,8
720575940604630752,left,Mi4,767,1,28,13,15
720575940604634592,left,Mi4,760,0,17,8,9
720575940604635253,right,T4c,635,6,-6,-9,3
720575940604635616,left,L1,223,-2,26,15,11
720575940604636021,right,T4c,109,4,-5,-7,2
720575940604636789,right,T4c,205,5,-6,-8,2
720575940604637045,right,T4d,109,4,-5,-7,2
720575940604640945,right,T4a,668,1,19,8,11
720575940604646368,right,T2,439,-3,-9,-2,-7
720575940604650464,right,C2,351,-1,-17,-8,-9
720575940604652512,right,T4d,653,-6,-12,0,-12
720575940604654048,left,C2,493,-3,23,14,9
720575940604657888,left,T3,635,6,-6,-9,3
720575940604658912,right,Tm4,594,7,-16,-15,-1
720575940604661472,left,L2,313,7,3,-6,9
720575940604664800,left,Tm9,443,-6,4,8,-4
720575940604666336,left,T5c,419,-3,-11,-3,-8
720575940604668094,right,Tm9,334,1,-26,-14,-12
720575940604679664,right,T4d,344,-2,-15,-6,-9
720575940604685740,right,Tm2,49,4,-4,-6,2
720575940604687532,right,Mi1,10,5,-15,-13,-2
720575940604692070,right,Mi9,115,-4,2,5,-3
720575940604692704,right,C3,199,0,-12,-6,-6
720575940604694496,left,T5a,443,-6,4,8,-4
720575940604694974,left,T2a,162,-4,-2,3,-5
720575940604698633,right,Mi9,501,1,2,0,2
720575940604699120,right,T4b,351,-1,-17,-8,-9
720575940604699825,right,T4d,606,-1,-19,-9,-10
720575940604704940,right,T5d,739,-7,2,8,-6
720575940604711392,right,Tm20,744,-4,25,16,9
720575940604712688,right,T4a,344,-2,-15,-6,-9
720575940604714929,right,Mi1,11,7,-14,-14,0
720575940604715744,left,T2a,641,-8,-5,5,-10
720575940604721120,left,Tm20,480,3,-19,-13,-6
720575940604721376,right,Tm20,596,-4,-16,-4,-12
720575940604721632,left,T3,174,4,-15,-12,-3
720575940604723424,left,L5,489,-3,10,8,2
720575940604728009,left,Mi1,111,2,-24,-14,-10
720575940604731569,left,T5c,467,-2,-20,-8,-12
720575940604732640,left,T5d,700,5,15,2,13
720575940604734641,right,Tm2,778,4,25,8,17
720575940604738016,left,L1,353,2,24,10,14
720575940604738737,right,T4d,636,0,6,3,3
720575940604740832,left,L4,405,3,10,2,8
720575940604744625,left,Tm2,157,-1,-7,-3,-4
720575940604745456,right,T4a,351,-1,-17,-8,-9
720575940604747953,right,L1,135,-3,-22,-8,-14
720575940604748768,left,Mi4,707,-2,25,14,11
720575940604766688,left,T4c,608,1,10,4,6
720575940604774572,right,T5a,723,-2,-11,-4,-7
720575940604778156,right,T5b,617,-2,-17,-7,-10
720575940604781490,left,T5b,320,-2,-5,-1,-4
720575940604782764,right,T5c,108,-3,-12,-3,-9
720575940604804798,right,T4c,555,-4,9,8,1
720575940604805566,right,T4b,348,3,14,4,10
720575940604807392,left,T4d,447,-1,2,2,0
720575940604809184,left,T5d,197,0,-20,-10,-10
720575940604810208,right,Tm9,113,-2,4,4,0
720575940604810464,left,Tm21,352,-2,28,16,12
720575940604810976,left,Tm20,716,4,-6,-7,1
720575940604811692,right,T5b,763,-5,14,12,2
720575940604812204,right,T4c,43,-5,18,14,4
720575940604812465,left,T4a,762,0,14,7,7
720575940604818092,right,T4b,80,4,13,2,11
720575940604818144,right,Tm4,209,-3,-8,-1,-7
720575940604825824,right,Tm21,473,-4,23,15,8
720575940604828128,left,T4a,653,-6,-12,0,-12
720575940604828849,right,T4a,1,-6,13,12,1
720575940604829152,right,Tm4,385,-3,-18,-6,-12
720575940604830129,left,T5a,184,-6,-5,3,-8
720575940604831456,right,T4a,190,-3,-5,0,-5
720575940604835756,right,T4b,760,0,17,8,9
720575940604836012,right,T4a,39,0,20,10,10
720575940604837344,right,Tm20,459,5,-3,-7,4
720575940604839084,right,Tm1,713,-6,16,14,2
720575940604843697,left,Mi9,308,-5,8,9,-1
720575940604853538,left,T3,486,0,1,0,1
720575940604867500,right,T2,148,-7,-11,1,-12
720575940604870316,left,Mi9,492,-7,-2,6,-8
720575940604872416,right,Tm9,697,1,-22,-12,-10
720575940604875744,right,T5b,117,-8,-2,7,-9
720575940604880864,left,T1,325,5,1,-5,6
720575940604885350,right,Tm1,196,-1,8,5,3
720575940604885728,left,T2a,47,-9,-1,8,-9
720575940604887986,left,Mi9,440,1,23,10,13
720575940604889056,left,T4a,120,-1,-1,0,-1
720575940604889568,right,L3,580,-2,-23,-10,-13
720575940604891680,right,Mi9,336,0,23,11,12
720575940604892640,right,Tm20,348,3,14,4,10
720575940604894688,left,T5a,16,-2,-16,-6,-10
720575940604895148,right,Tm1,682,6,-8,-10,2
720575940604897248,right,Tm3,438,2,27,11,16
720575940604898662,right,T4c,326,2,16,6,10
720575940604900832,right,T5c,243,-1,-21,-10,-11
720575940604902921,right,T4d,317,-5,-4,3,-7
720575940604904160,left,T2a,741,-2,-14,-5,-9
720575940604908716,right,T2,188,-5,17,13,4
720575940604909246,left,Tm3,672,-8,11,13,-2
720575940604910508,right,L2,591,3,-3,-5,2
720575940604912608,left,T5c,56,1,-13,-8,-5
720575940604916704,left,T2a,626,-5,-8,1,-9
720575940604923616,right,T3,752,-2,7,5,2
720575940604924896,left,T2a,701,0,-4,-2,-2
720575940604936364,left,C3,680,-1,25,13,12
720575940604940716,left,L2,80,4,13,2,11
720575940604940768,left,Tm3,493,-3,23,14,9
720575940604941024,right,Mi4,526,0,-10,-5,-5
720575940604942048,left,T2a,260,-3,19,12,7
720575940604943394,left,T4b,534,3,2,-2,4
720575940604943906,left,T4c,73,2,2,-1,3
720575940604946720,right,T4d,338,-1,0,1,-1
720575940604947657,right,Mi1,12,-7,9,11,-2
720575940604947680,right,L5,680,-1,25,13,12
720575940604951840,left,T4c,635,6,-6,-9,3
720575940604952544,right,T2a,686,5,-22,-16,-6
720575940604957920,left,Mi9,282,0,26,13,13
720575940604957984,left,Mi4,43,-5,18,14,4
720575940604958688,right,L5,581,3,9,1,8
720575940604959712,left,T4b,743,6,-19,-16,-3
720575940604960992,right,L4,342,2,-15,-10,-5
720575940604962220,left,T5b,130,2,12,4,8
720575940604962528,left,L3,263,-3,4,5,-1
720575940604963552,left,L2,188,-5,17,13,4
720575940604964576,right,L5,175,-6,-7,2,-9
720575940604965548,left,T5a,232,-4,13,10,3
720575940604968108,right,T3,55,-4,-11,-2,-9
720575940604973536,left,T2,534,3,2,-2,4
720575940604974304,left,T2a,208,5,-21,-16,-5
720575940604979116,left,T5a,636,0,6,3,3
720575940604983398,right,T4c,202,-1,27,14,13
720575940604992480,left,L2,26,1,-3,-3,0
720575940604994272,left,Tm2,358,-3,17,11,6
720575940604994476,left,T3,289,-1,11,6,5
720575940605001696,left,T2,334,1,-26,-14,-12
720575940605002720,right,L5,213,3,-4,-5,1
720575940605005280,right,Mi4,425,3,20,7,13
720575940605009632,left,Mi9,71,-2,-3,0,-3
720575940605012140,left,T5d,648,1,7,2,5
720575940605015776,left,L5,261,-1,13,7,6
720575940605017260,right,Tm9,41,-3,28,17,11
720575940605017312,left,Mi1,690,-7,-3,5,-8
720575940605018540,left,T4c,40,-2,-6,-1,-5
720575940605022176,left,Mi4,378,-3,18,12,6
720575940605026784,right,Tm20,126,3,11,2,9
720575940605028320,right,T2,735,1,-23,-13,-10
720575940605028809,left,Mi9,362,2,-20,-12,-8
720575940605029856,right,Mi1,13,-1,-26,-12,-14
720575940605032364,right,L1,231,4,-12,-10,-2
720575940605033644,left,T4a,650,-3,-25,-10,-15
720575940605034161,right,Tm9,752,-2,7,5,2
720575940605041952,left,Mi9,559,-6,22,17,5
720575940605042656,left,Mi1,777,6,20,4,16
720575940605046188,left,L3,289,-1,11,6,5
720575940605051052,right,T5b,601,1,16,7,9
720575940605055660,right,T4a,333,0,-21,-11,-10
720575940605064364,left,L2,159,7,7,-4,11
720575940605072300,right,T3,67,-2,-13,-5,-8
720575940605073324,left,Tm9,324,3,24,9,15
720575940605073376,left,T5a,455,7,-7,-11,4
720575940605074144,right,C2,342,2,-15,-10,-5
720575940605084774,right,T5b,23,-3,-16,-5,-11
720575940605087404,left,T4b,325,5,1,-5,6
720575940605089964,left,T5d,665,7,-2,-8,6
720575940605091104,right,L2,678,3,-7,-7,0
720575940605092700,left,Mi1,10,5,-15,-13,-2
720575940605096550,right,T5b,224,0,5,2,3
720575940605097132,right,Tm2,251,-1,-14,-6,-8
720575940605097929,left,L4,699,-5,0,5,-5
720575940605098976,left,L4,591,3,-3,-5,2
720575940605103806,right,Tm3,752,-2,7,5,2
720575940605106110,right,Mi4,116,-1,-8,-3,-5
720575940605111230,right,T3,531,1,0,-1,1
720575940605111980,left,L4,630,4,8,0,8
720575940605112288,left,C2,189,6,13,0,13
720575940605113056,left,T5b,665,7,-2,-8,6
720575940605113772,left,T3,435,5,-17,-14,-3
720575940605114848,left,L5,132,2,4,0,4
720575940605116640,right,L4,510,-2,11,7,4
720575940605116849,left,T1,733,-5,-17,-4,-13
720575940605128550,right,Tm9,254,3,-24,-15,-9
720575940605128876,right,Tm21,277,7,-3,-9,6
720575940605130668,left,T4d,131,-6,20,16,4
720575940605132972,left,C2,748,-4,20,14,6
720575940605135532,right,T4b,44,5,-10,-10,0
720575940605139116,right,T4c,153,8,0,-8,8
720575940605140396,left,T5d,312,4,-7,-8,1
720575940605142118,right,L5,512,6,0,-6,6
720575940605143724,left,T5c,679,4,18,5,13
720575940605145516,left,T3,18,5,-16,-13,-3
720575940605147057,right,Tm2,410,-2,-2,1,-3
720575940605151916,left,L5,289,-1,11,6,5
720575940605152177,right,Tm1,84,-2,12,8,4
720575940605153196,left,C3,229,5,2,-4,6
720575940605153708,right,L1,728,7,12,-1,13
720575940605157990,right,Tm3,375,-6,7,9,-2
720575940605162668,right,L2,128,3,-22,-14,-8
720575940605162720,left,Mi9,493,-3,23,14,9
720575940605164460,left,T4b,717,2,-22,-13,-9
720575940605165228,left,C3,446,2,-14,-9,-5
720575940605167276,left,T2a,727,7,6,-4,10
720575940605169580,right,L2,173,2,-25,-15,-10
720575940605169836,left,T2a,142,-2,-18,-7,-11
720575940605174304,right,C3,198,6,2,-5,7
720575940605174700,right,T5c,304,6,5,-4,9
720575940605179360,right,R7,21,-2,19,11,8
720575940605179849,right,Tm1,19,-7,17,15,2
720575940605180844,right,T4c,181,1,-4,-3,-1
720575940605181152,right,T4d,696,-2,16,10,6
720575940605182432,left,T3,653,-6,-12,0,-12
720575940605183404,left,Tm21,719,1,27,12,15
720575940605183660,left,L5,237,-2,27,15,12
720575940605185964,right,Tm21,639,-4,19,13,6
720575940605186225,right,Mi9,747,0,2,1,1
720575940605190624,right,C3,657,-2,-25,-11,-14
720575940605191340,right,Tm9,669,4,-16,-12,-4
720575940605193696,left,C3,524,4,-20,-14,-6
720575940605197740,left,L3,762,0,14,7,7
720575940605204960,left,T4d,398,-3,22,14,8
720575940605212640,left,Tm20,157,-1,-7,-3,-4
720575940605215665,right,Mi1,15,2,-3,-4,1
720575940605219552,left,Tm21,406,1,-25,-14,-11
720575940605223340,right,Tm4,147,1,21,9,12
720575940605224416,right,L5,4,-5,-21,-6,-15
720575940605224672,left,T4a,705,1,1,-1,2
720575940605225900,right,Tm20,331,1,-15,-9,-6
720575940605225952,left,C2,497,6,1,-6,7
720575940605238705,right,T5b,615,-7,-7,3,-10
720575940605240544,right,T1,490,-5,6,8,-2
720575940605241516,right,T4d,35,1,-24,-13,-11
720575940605243424,left,Mi1,602,4,-2,-5,3
720575940605251756,right,Mi4,588,1,4,1,3
720575940605254880,right,L4,305,-7,4,9,-5
720575940605255270,left,Tm1,540,-2,-9,-3,-6
720575940605258668,right,Tm4,259,-7,-5,4,-9
720575940605262880,right,Mi1,16,-2,-16,-6,-10
720575940605268140,right,L3,197,0,-20,-10,-10
720575940605270816,right,T3,25,-9,3,10,-7
720575940605273772,right,L3,194,0,-5,-3,-2
720575940605278636,right,Tm21,168,-1,17,9,8
720575940605279660,left,Tm2,679,4,18,5,13
720575940605285292,left,T2a,70,-4,21,14,7
720575940605286060,left,Tm3,232,-4,13,10,3
720575940605286316,left,Tm4,437,-3,12,9,3
720575940605287852,left,L1,327,5,3,-4,7
720575940605288480,left,Mi1,737,0,19,9,10
720575940605289900,left,Mi4,699,-5,0,5,-5
720575940605291185,left,Tm3,110,-7,0,7,-7
720575940605292460,left,Tm3,520,-2,-22,-9,-13
720575940605293484,left,C3,173,2,-25,-15,-10
720575940605293698,right,Tm20,210,-6,8,10,-2
720575940605300256,left,Mi1,173,2,-25,-15,-10
720575940605304166,right,T5c,61,-4,-4,2,-6
720575940605306726,right,T5b,317,-5,-4,3,-7
720575940605310398,right,Tm3,600,3,-10,-8,-2
720575940605313638,left,Tm1,430,-3,-7,-1,-6
720575940605315262,right,Tm2,663,0,8,4,4
720575940605315762,left,T5a,245,-5,-3,3,-6
720575940605317600,left,T5d,753,-3,24,15,9
720575940605319340,left,Tm21,699,-5,0,5,-5
720575940605319852,left,L5,121,-8,4,10,-6
720575940605321132,left,Tm2,216,2,19,7,12
720575940605324204,right,Tm1,753,-3,24,15,9
720575940605328928,right,Mi4,475,-4,-1,3,-4
720575940605330022,right,L1,646,6,17,2,15
720575940605332070,right,L5,34,6,18,3,15
