Mi1,X,Y,Z,side,azimuth,elevation,radius,lattice_p,lattice_q,lattice_azi,lattice_elev,left_eye,lattice_p_corrected,lattice_q_corrected,azimuth_corrected,elevation_corrected,retinal_azi,DRA_paths,X_rot,Y_rot,Z_rot,lattice_p_rot,lattice_q_rot,position_x,position_y,position_z,optical_x,optical_y,optical_z,retinal_row,retinal_col,normal_x,normal_y,normal_z,skew_angle,binocular_angle,binocular
720575940603042272,744302.0475382004,230296.95755517823,145276.1290322581,right,0.1939719698500747,2.0033211159105697,131662.5508438428,12.0,1.0,0.1939719698500743,2.003321115910571,False,12.0,1.0,-0.1939719698500743,2.003321115910571,-0.1939719698500743,0.0,122443.73014074299,217221.56532793827,55685.92214724035,12.0,1.0,-35.3216360854525,-402.0432645773298,98.4842271193548,-0.23916981156184552,-0.32957248289007557,0.2625656040781115,7.961,11.667,-0.1849196356852574,-0.8373727528353542,0.5144041224047224,0.3492714159720767,55.71459583878573,False
720575940603200428,723452.0414507772,277239.40784604,128701.93930421912,right,0.4401366764917654,1.6637197397239831,131113.8585162928,9.0,-7.0,0.4401366764917658,1.6637197397239842,False,9.0,-7.0,-0.4401366764917658,1.6637197397239842,-0.4401366764917658,0.0,131027.17176899577,199781.774121518,5335.168719039437,9.0,-7.0,-85.8374660221888,-415.70054352470316,4.4610582522594795,-0.39497758015635853,-0.2787917045285649,0.01794078070385592,1.225,16.971,-0.5041433207507597,-0.861658301185041,0.0581763194204128,0.4268028559745464,62.330185883901905,False
720575940603327916,774184.4288550629,333928.3812045003,210549.1197882197,right,-0.2683827465059808,1.0959045878453568,128615.07804330895,-12.0,0.0,-0.2683827465059795,1.0959045878453568,False,-12.0,0.0,0.2683827465059795,1.0959045878453568,0.2683827465059795,0.0,42200.978640408866,255094.14002341178,-33867.19572461769,-12.0,0.0,236.17043463000428,-275.3834602320778,-121.5417173977375,0.4541677866238952,-0.04238784969216811,-0.16195988389840107,-7.348,-12.728,0.9175433424827247,-0.35340798284971536,-0.1822553492321277,0.30831619009733496,3.077677939706291,True
720575940603935334,690737.9771615008,343561.735725938,137870.99510603587,right,0.6944143712431152,1.1569886119047317,136041.18498893248,-6.0,-15.0,0.6944143712431161,1.156988611904732,False,-6.0,-15.0,-0.6944143712431161,1.156988611904732,-0.6944143712431161,0.0,110922.33510601548,172109.10678738196,-60868.69663184139,-6.0,-15.0,-9.086531196186154,-387.9541408883552,-173.82680733539772,-0.1833243079087584,-0.26009208146408636,-0.3667206128626659,-12.86,9.546,-0.2936651549932525,-0.7744362579808305,-0.5603652907411715,0.3208133887851156,55.67376332798858,False
720575940604151008,755314.3697359029,299671.5203426124,156214.5324768023,right,0.1365022122711237,1.45428050285915,129104.0728177732,0.0,-4.0,0.1365022122711242,1.4542805028591503,False,0.0,-4.0,-0.1365022122711242,1.4542805028591503,-0.1365022122711242,0.0,100905.36927010826,233391.99997180974,-10104.395730726043,0.0,-4.0,77.98638564913944,-428.0264729247657,-39.76066987952469,0.11249940758075332,-0.46873554179511845,-0.03693627142873715,-2.449,4.243,0.309305317469464,-0.9509532921488285,0.004249321877543915,0.11283758304358471,67.53547447003272,False
720575940604191456,723869.1530944626,304484.993485342,133835.7328990228,right,0.4373467855106557,1.4523603846525897,131678.07873246924,3.0,-9.0,0.4373467855106563,1.4523603846525903,False,3.0,-9.0,-0.4373467855106563,1.4523603846525903,-0.4373467855106563,0.0,121670.04371367765,202240.87855179867,-20650.379487285536,3.0,-9.0,-35.205597733783144,-433.2628135683369,-57.59463996490471,-0.2501750721469761,-0.4109760915297644,-0.05937796619426001,-3.674,12.728,-0.21798479052187023,-0.9585657524954063,-0.18339664458231483,0.32521552684571603,86.03915937968621,False
720575940604255712,734753.5475946774,187899.84032753325,169231.89355168885,right,0.0633050005531627,2.371537221796757,128667.53540295977,17.0,9.0,0.0633050005531607,2.371537221796758,False,17.0,9.0,-0.0633050005531607,2.371537221796758,-0.0633050005531607,1.0,105303.1462737949,204730.07004940195,100549.39263830881,17.0,9.0,-22.585124158770203,-326.8023872915814,177.25700361010985,-0.16299415721176225,-0.13742685794692888,0.4324504942237406,15.922,8.485,-0.24578734857306966,-0.4952677401963896,0.8332457289432583,0.23882900499790458,24.740147438269403,False
720575940604427552,290138.97986577183,301099.1230425056,206917.3452647278,left,-0.0958317780645185,1.269432668072047,115506.82173595388,-5.0,-4.0,-0.0928110568971139,1.2792461550421066,True,-5.0,-4.0,0.0928110568971139,1.2792461550421066,0.0928110568971139,0.0,42166.33281230518,-230067.68362539992,-36858.90732947662,-5.0,-4.0,137.60602871918732,397.30274666647296,-79.7336374529787,0.3046852881405751,0.3596583745447342,-0.1103770098715931,-5.511,-1.061,0.5218035830216473,0.8440617060580622,-0.12361576401140911,0.18106397297428492,41.84799383550632,False
720575940604470188,300206.4276985743,211456.05702647657,184383.0142566191,left,-0.1651313943058308,2.082817823689852,118678.992025759,12.0,1.0,-0.1582838042784984,2.0669081044022843,True,12.0,1.0,0.1582838042784984,2.0669081044022843,0.1582838042784984,0.0,78732.58885104339,-226787.29783532623,48564.607307776925,12.0,1.0,-35.946578337832904,399.47524414772414,107.60727839269943,-0.20905254177433888,0.3393691227856489,0.27002634432276595,7.961,11.667,-0.21942047829242847,0.7936673407233356,0.5674035653528015,0.23303797950387597,53.92950480002739,False
720575940604508332,797465.6484018265,252313.54794520547,207225.1141552512,right,-0.4277762685963573,1.7361378294751473,133617.22189420392,0.0,9.0,-0.4277762685963575,1.7361378294751468,False,0.0,9.0,0.4277762685963575,1.7361378294751468,0.4277762685963575,0.0,58774.70326325107,272270.4812148087,47645.56499649902,0.0,9.0,198.63795971876942,-297.50879396010873,66.26944632005224,0.43414741980949456,-0.12257886541739174,0.17388882368395855,5.511,-9.546,0.796904753414989,-0.45944082106260375,0.3922460272914391,0.23219511823575842,8.283692254034538,False
